Data Source,World Development Indicators,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Last Updated Date,08-04-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Algeria,DZA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,100.6914333,109.4430667,110.9730167,116.5937917,119.3535583,126.7768,135.0640583,141.994975,135.8429333,134.0532417,
East Asia & Pacific (excluding high income),EAP,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,
Early-demographic dividend,EAR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,
East Asia & Pacific,EAS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,
Europe & Central Asia,ECS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,
Ecuador,ECU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1,1,1,1,1,1,1,1,
"Egypt, Arab Rep.",EGY,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,7.691258333,10.02540079,17.78253352,17.76729042,16.77058184,15.75917292,15.64452728,19.16043974,30.6264137,45.29926,
Euro area,EMU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546,
Eritrea,ERI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,15.375,15.35,15.075,15.075,15.075,15.075,15.075,15.075,15.075,15.075,
Spain,ESP,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546,
Estonia,EST,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546,
Ethiopia,ETH,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,20.57684875,21.73154722,23.86610446,27.42938659,29.06975,34.9271654,43.73377832,51.75621503,54.60094807,82.60133635,
European Union,EUU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,
Finland,FIN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546,
Fiji,FJI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.097629816,2.094695939,2.066875304,2.087379789,2.160393115,2.168804924,2.070633333,2.201406987,2.250125,2.2683,
France,FRA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546,
Faroe Islands,FRO,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,6.727906831,6.731718257,6.602893466,6.314618787,6.669446615,6.542152204,6.287113083,7.076151863,6.889702586,6.894481417,
"Micronesia, Fed. Sts.",FSM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1,1,1,1,1,1,1,1,
Gabon,GAB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502,606.3452976,
United Kingdom,GBR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.654545479,0.740634464,0.776976682,0.74953154,0.78344511,0.779999577,0.727064945,0.811301716,0.804538907,0.782414581,
Georgia,GEO,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.269341667,2.366725,2.509541667,2.534110833,2.818145,3.109016667,3.221558333,2.9162,2.627958333,2.720616667,
Ghana,GHA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.714641667,3.909816667,4.350533333,4.585325,5.217366667,5.595708333,5.8057,8.2724,11.02040833,14.18194167,
Gibraltar,GIB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.654545479,0.740634464,0.776976682,0.74953154,0.78344511,0.779999577,0.727064945,0.811301716,0.804538907,0.782414581,
Guinea,GIN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,7485.516742,8967.92708,9088.319496,9011.134177,9183.875864,9565.082183,,,,,
"Gambia, The",GMB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,42.50620809,43.37252767,46.60890946,48.15178064,50.06246137,51.50166037,51.48444388,54.92346736,61.09633301,67.66123826,
Guinea-Bissau,GNB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502,606.3452976,
